raw,chouxiang
笑,??
笑哭,??
色,??
亲,??
哭,??
晕,??
愤怒,??
生气,??
怒,??
死,??
鬼,??
外星人,??
屎,??
男孩,??
男生,??
男人,??
男,??
女孩,??
女生,??
女人,??
女,??
老人,??
老子,??
老,??
爷,??
警察,??
工人,??
农民工,??
秃子,???
秃子,???
圣诞,??
圣诞老人,??
走,??
跑,??
跳舞,??
舞,??
家人,??
强壮,??
强,??
壮,??
肌肉,??
腿,??
脚,??
足,??
指,??
左,??
右,??
上,??
下,??
耶,??
剪刀手,??
比心,??
笔芯,??
手掌,???
手,???
ok,??
好的,??
好,??
点赞,??
赞,??
棒,??
差,??
坏,??
拳,??
不,??
挥手,??
鼓掌,??
啪,??
举手,??
合十,??
祈祷,??
握手,??
耳朵,??
耳,??
鼻,??
鼻子,??
眼睛,??
脚印,??
足迹,??
大脑,??
智,??
骨头,??
骨,??
牙齿,??
齿,??
舔,??
嘴,??
眼镜,??
太阳镜,???
T恤,??
袜子,??
袜,??
裙子,??
裙,??
比基尼,??
女装,??
钱包,??
手提袋,??
包,??
鞋,??
鞋子,??
高跟鞋,??
帽子,??
口红,??
行李,??
雨伞,??
伞,??
蒙眼,??
没眼看,??
不听,??
不说话,??
禁言,??
爆炸,??
炸,??
滴,??
奔,??
奔跑,????
猴,??
猴子,??
狗,??
猫,??
浣熊,??
狮子,??
狮,??
马,??
妈,??
老虎,??
虎,??
斑马,??
牛,??
猪,??
猪鼻,??
骆驼,??
驼,??
长颈鹿,??
大象,??
象,??
老鼠,??
鼠,??
兔子,??
兔,??
熊,??
考拉,??
熊猫,??
袋鼠,??
鸡,??
公鸡,??
鸟,??
鸽子,???
鸽,???
企鹅,??
腾讯,??
老鹰,??
鹰,??
鸭子,??
鸭,??
天鹅,??
鹦鹉,??
蛤蟆,??
蛤,??
龟,??
乖,??
蛇,??
射,??
农民,??鸣
龙,??
鲸鱼,??
鲸,??
海豚,??
豚,??
带鱼,??
鲨鱼,??
鲨,??
章鱼,??
章,??
螃蟹,??
蟹,??
龙虾,??
虾,??
乌贼,??
蜗牛,??
蝴蝶,??
蝶,??
虫,??
虫子,??
蚂蚁,??
蚁,??
蜜蜂,??
蜂,??
瓢虫,??
嫖,??
瓢,??
蜘蛛,???
蛛,???
